09/04/2022 05:05:23 PM Heavy 5.0 3.5
04/09/2022 05:12:58 PM Heavy 10.00 8.50
04/09/2022 05:16:57 PM FEED MONEY 0.00 10.00
04/09/2022 05:17:04 PM FEED MONEY 10.00 11.00
04/09/2022 05:17:09 PM FEED MONEY 11.00 13.00
04/09/2022 05:17:21 PM Chiclets 13.00 12.25
04/09/2022 05:17:46 PM Mountain Melter 12.25 10.75
04/09/2022 05:17:50 PM GIVE CHANGE 10.75 0.00
04/09/2022 05:41:30 PM FEED MONEY 0.00 1.00
04/09/2022 05:41:37 PM GIVE CHANGE 1.00 0.00
04/09/2022 05:57:05 PM FEED MONEY 0.00 1.00
04/09/2022 06:08:15 PM FEED MONEY 0.00 1.00
04/09/2022 06:11:32 PM FEED MONEY 0.00 1.00
04/09/2022 06:13:44 PM FEED MONEY 0.00 1.00
04/09/2022 06:14:48 PM FEED MONEY 0.00 1.00
04/09/2022 06:14:49 PM FEED MONEY 1.00 3.00
04/09/2022 06:18:20 PM FEED MONEY 0.00 1.00
04/09/2022 06:18:21 PM FEED MONEY 1.00 3.00
04/09/2022 06:18:21 PM FEED MONEY 3.00 3.00
04/09/2022 06:19:33 PM FEED MONEY 0.00 1.00
04/09/2022 06:19:33 PM FEED MONEY 1.00 3.00
04/09/2022 06:19:33 PM FEED MONEY 3.00 3.00
04/09/2022 06:22:00 PM FEED MONEY 0.00 1.00
04/09/2022 06:22:00 PM FEED MONEY 1.00 3.00
04/09/2022 06:22:00 PM FEED MONEY 3.00 3.00
04/09/2022 06:24:11 PM FEED MONEY 0.00 1.00
04/09/2022 06:24:11 PM FEED MONEY 1.00 3.00
04/09/2022 06:24:11 PM FEED MONEY 3.00 3.00
04/09/2022 06:34:27 PM GIVE CHANGE 0.00 0.00
04/09/2022 07:16:59 PM FEED MONEY 0.00 5.00
04/09/2022 07:17:09 PM Triplemint 5.00 4.25
04/09/2022 07:17:15 PM Triplemint 4.25 3.50
04/09/2022 07:17:21 PM Triplemint 3.50 2.75
04/09/2022 07:17:23 PM GIVE CHANGE 2.75 0.00
04/09/2022 07:35:34 PM FEED MONEY 0.00 10.00
04/09/2022 07:35:39 PM Triplemint 10.00 9.25
04/09/2022 07:35:43 PM Potato Crisps 9.25 6.20
04/09/2022 07:35:49 PM Potato Crisps 6.20 3.15
04/09/2022 07:35:52 PM GIVE CHANGE 3.15 0.00
04/16/2022 11:48:13 AM FEED MONEY 0.00 0.00
04/16/2022 11:48:19 AM FEED MONEY 0.00 0.00
04/16/2022 11:48:30 AM FEED MONEY 0.00 0.00
04/16/2022 11:48:40 AM FEED MONEY 0.00 1.00
04/16/2022 11:48:51 AM GIVE CHANGE 1.00 0.00
04/16/2022 12:08:46 PM FEED MONEY 0.00 10.00
04/16/2022 12:08:53 PM Mountain Melter 10.00 8.50
04/16/2022 12:08:59 PM Mountain Melter 8.50 7.00
04/16/2022 12:09:03 PM GIVE CHANGE 7.00 0.00
04/16/2022 03:34:43 PM FEED MONEY 0.00 10.00
04/16/2022 03:34:47 PM Triplemint 10.00 9.25
04/16/2022 03:34:52 PM GIVE CHANGE 9.25 0.00
04/16/2022 03:35:06 PM GIVE CHANGE 0.00 0.00
04/16/2022 06:44:13 PM FEED MONEY 0.00 1.00
04/16/2022 06:45:35 PM FEED MONEY 0.00 1.00
04/16/2022 06:45:56 PM FEED MONEY 0.00 1.00
04/16/2022 06:45:56 PM FEED MONEY 1.00 3.00
04/16/2022 06:45:56 PM FEED MONEY 3.00 3.00
04/16/2022 06:46:16 PM FEED MONEY 0.00 1.00
04/16/2022 06:46:16 PM FEED MONEY 1.00 3.00
04/16/2022 06:46:16 PM FEED MONEY 3.00 3.00
04/16/2022 06:46:26 PM FEED MONEY 0.00 1.00
04/16/2022 06:46:26 PM FEED MONEY 1.00 3.00
04/16/2022 06:46:26 PM FEED MONEY 3.00 3.00
04/16/2022 06:47:33 PM FEED MONEY 0.00 1.00
04/16/2022 06:47:33 PM FEED MONEY 1.00 3.00
04/16/2022 06:47:33 PM FEED MONEY 3.00 3.00
04/16/2022 06:47:45 PM FEED MONEY 0.00 1.00
04/16/2022 06:48:48 PM FEED MONEY 0.00 1.00
04/16/2022 06:48:56 PM FEED MONEY 0.00 1.00
04/16/2022 06:51:18 PM FEED MONEY 0.00 1.00
04/16/2022 06:52:17 PM FEED MONEY 0.00 1.00
04/16/2022 06:52:32 PM FEED MONEY 0.00 1.00
04/16/2022 06:52:57 PM FEED MONEY 0.00 1.00
04/16/2022 06:58:06 PM FEED MONEY 0.00 1.00
04/16/2022 06:58:21 PM FEED MONEY 0.00 1.00
04/16/2022 07:00:14 PM FEED MONEY 0.00 1.00
04/16/2022 07:04:16 PM FEED MONEY 0.00 1.00
04/16/2022 07:04:54 PM FEED MONEY 0.00 1.00
04/16/2022 07:04:54 PM FEED MONEY 1.00 3.00
04/16/2022 07:04:54 PM FEED MONEY 3.00 3.00
04/16/2022 07:05:41 PM FEED MONEY 0.00 1.00
04/16/2022 07:05:41 PM FEED MONEY 1.00 3.00
04/16/2022 07:05:41 PM FEED MONEY 3.00 3.00
04/16/2022 07:08:43 PM FEED MONEY 0.00 1.00
04/16/2022 07:08:43 PM FEED MONEY 1.00 3.00
04/16/2022 07:08:43 PM FEED MONEY 3.00 3.00
04/16/2022 07:08:43 PM FEED MONEY 0.00 2.00
04/16/2022 07:08:43 PM GIVE CHANGE 2.00 0.00
04/16/2022 07:08:43 PM FEED MONEY 0.00 1.00
04/16/2022 07:09:12 PM FEED MONEY 0.00 2.00
04/16/2022 07:09:12 PM GIVE CHANGE 2.00 0.00
04/16/2022 07:15:47 PM FEED MONEY 0.00 2.00
04/16/2022 07:15:47 PM GIVE CHANGE 2.00 0.00
04/16/2022 07:15:54 PM FEED MONEY 0.00 2.00
04/16/2022 07:15:54 PM GIVE CHANGE 2.00 0.00
04/16/2022 07:17:18 PM FEED MONEY 0.00 2.00
04/16/2022 07:17:18 PM GIVE CHANGE 2.00 0.00
04/16/2022 07:18:50 PM FEED MONEY 0.00 2.00
